date,category,sub-category,description,value
01-02-22,Income,Net Wage,,1258.5
01-02-22,Income,Gross Wage,,1902.6
01-02-22,Income,Benefits,,400
01-02-22,Income,Lunch Subsidy,,152.6
01-02-22,Income,Other,Celfocus Departure,2764.94
01-02-22,Home Expenses,Mortgage/Rent,,9.74
01-02-22,Home Expenses,Water,,10.12
01-02-22,Home Expenses,Energy/Gas,,26.2
01-02-22,Health,Medicine/Drugs,,45.68
01-02-22,Charity/Gifts,Gifts Given,,11.84
01-02-22,Home Expenses,TV/Internet,,8.46
01-02-22,Subscriptions,Spotify,,1.99
01-02-22,Subscriptions,Netflix,,5.99
01-02-22,Transportation,Public Transportation Lisbon,,3
01-02-22,Transportation,other,,39.58
01-02-22,Savings,Investments,,300
01-02-22,Daily Living,Groceries,,212.5
01-02-22,Daily Living,Dining/eating out,,68.93
01-02-22,Daily Living,Lunch/Snack (working days),,3.05
01-02-22,Daily Living,Clothing,,22.7
01-02-22,ENTERTAINMENT,Fun with friends,,16.5
01-02-22,ENTERTAINMENT,Sports,,4
01-02-22,ENTERTAINMENT,Vacation/Travel,Serra da Estrela,201.2
